Time,Open,High,Low,Close
2021-06-01 17:05:00,1.41488,1.41499,1.4148,1.4148
2021-06-01 17:10:00,1.41491,1.41494,1.41475,1.4148
2021-06-01 17:15:00,1.4148,1.41499,1.41477,1.41498
2021-06-01 17:20:00,1.41499,1.415,1.41477,1.41477
2021-06-01 17:25:00,1.41477,1.4148,1.41476,1.41477
2021-06-01 17:30:00,1.41481,1.41488,1.41476,1.41482
2021-06-01 17:35:00,1.41483,1.41499,1.41476,1.41482
2021-06-01 17:40:00,1.41482,1.4149,1.41475,1.41477
2021-06-01 17:45:00,1.41478,1.41494,1.41474,1.41476
2021-06-01 17:50:00,1.41477,1.41487,1.41472,1.41475
2021-06-01 17:55:00,1.41476,1.41499,1.4147,1.4148
2021-06-01 18:00:00,1.41483,1.41512,1.4148,1.4148
2021-06-01 18:05:00,1.41481,1.41481,1.41452,1.41465
2021-06-01 18:10:00,1.41467,1.41473,1.41463,1.41468
2021-06-01 18:15:00,1.41469,1.41489,1.41469,1.41479
2021-06-01 18:20:00,1.4148,1.41481,1.41479,1.41481
2021-06-01 18:25:00,1.41483,1.41502,1.41481,1.41502
2021-06-01 18:30:00,1.41501,1.41502,1.41501,1.41502
2021-06-01 18:35:00,1.41505,1.41514,1.41503,1.41506
2021-06-01 18:40:00,1.41505,1.41511,1.415,1.415
2021-06-01 18:45:00,1.41499,1.41502,1.41499,1.41501
2021-06-01 18:50:00,1.415,1.41503,1.4149,1.41492
2021-06-01 18:55:00,1.41493,1.41512,1.41493,1.41503
2021-06-01 19:00:00,1.41503,1.41534,1.41499,1.41519
2021-06-01 19:05:00,1.41518,1.41518,1.41506,1.41507
2021-06-01 19:10:00,1.41507,1.41512,1.41506,1.41511
2021-06-01 19:15:00,1.41512,1.41516,1.41509,1.41512
2021-06-01 19:20:00,1.41511,1.41511,1.41484,1.41484
2021-06-01 19:25:00,1.41485,1.41501,1.41485,1.41501
2021-06-01 19:30:00,1.415,1.41514,1.41499,1.41513
2021-06-01 19:35:00,1.41516,1.41539,1.41516,1.41522
2021-06-01 19:40:00,1.41524,1.41536,1.41513,1.41533
2021-06-01 19:45:00,1.41531,1.41541,1.4152,1.41539
2021-06-01 19:50:00,1.4154,1.41552,1.41537,1.41552
2021-06-01 19:55:00,1.41552,1.41555,1.41543,1.41553
2021-06-01 20:00:00,1.41552,1.41554,1.41519,1.41541
2021-06-01 20:05:00,1.41541,1.41583,1.41529,1.41581
2021-06-01 20:10:00,1.4158,1.41582,1.4156,1.41571
2021-06-01 20:15:00,1.4157,1.41618,1.41569,1.4161
2021-06-01 20:20:00,1.4161,1.41623,1.41588,1.41599
2021-06-01 20:25:00,1.41601,1.41612,1.41591,1.41605
2021-06-01 20:30:00,1.41605,1.4162,1.4158,1.41591
2021-06-01 20:35:00,1.41591,1.41604,1.41585,1.41591
2021-06-01 20:40:00,1.41591,1.41612,1.41587,1.41593
2021-06-01 20:45:00,1.41594,1.41594,1.4157,1.41583
2021-06-01 20:50:00,1.41582,1.41611,1.41572,1.41585
2021-06-01 20:55:00,1.41583,1.41584,1.41559,1.41577
2021-06-01 21:00:00,1.41573,1.41584,1.41561,1.41583
2021-06-01 21:05:00,1.41583,1.41589,1.41568,1.41571
2021-06-01 21:10:00,1.41571,1.41591,1.41569,1.41591
2021-06-01 21:15:00,1.4159,1.41614,1.41584,1.4161
2021-06-01 21:20:00,1.4161,1.41613,1.41577,1.41593
2021-06-01 21:25:00,1.41592,1.41616,1.41589,1.41589
2021-06-01 21:30:00,1.41589,1.41616,1.41546,1.41548
2021-06-01 21:35:00,1.4155,1.41561,1.41538,1.4156
2021-06-01 21:40:00,1.41561,1.41601,1.41558,1.41601
2021-06-01 21:45:00,1.41596,1.41614,1.4158,1.41602
2021-06-01 21:50:00,1.41604,1.41611,1.41584,1.41603
2021-06-01 21:55:00,1.41604,1.41634,1.41558,1.41558
2021-06-01 22:00:00,1.41556,1.41575,1.4152,1.41532
2021-06-01 22:05:00,1.41531,1.41553,1.4153,1.41552
2021-06-01 22:10:00,1.41556,1.41572,1.41553,1.41563
2021-06-01 22:15:00,1.41563,1.41571,1.41556,1.41563
2021-06-01 22:20:00,1.41562,1.4161,1.41561,1.41609
2021-06-01 22:25:00,1.41608,1.4161,1.41587,1.41591
2021-06-01 22:30:00,1.41589,1.41628,1.41589,1.41619
2021-06-01 22:35:00,1.41615,1.4164,1.41609,1.41622
2021-06-01 22:40:00,1.41621,1.41629,1.4161,1.41619
2021-06-01 22:45:00,1.41618,1.41632,1.41614,1.41622
2021-06-01 22:50:00,1.41623,1.41629,1.41602,1.41611
2021-06-01 22:55:00,1.41612,1.41615,1.41598,1.41599
2021-06-01 23:00:00,1.41601,1.4162,1.41601,1.41612
2021-06-01 23:05:00,1.41614,1.41634,1.41614,1.41616
